trip_id,arrival_time,departure_time,stop_id,stop_sequence
1_out,06:00:00,06:00:00,4700,1
1_out,06:05:00,06:05:00,4701,2
1_out,06:10:00,06:10:00,4716,3
1_out,06:15:00,06:15:00,4703,4
1_out,06:20:00,06:20:00,4702,5

1_ret,06:25:00,06:25:00,4702,1
1_ret,06:30:00,06:30:00,4703,2
1_ret,06:35:00,06:35:00,4716,3
1_ret,06:40:00,06:40:00,4701,4
1_ret,06:45:00,06:45:00,4700,5

2_out,06:00:00,06:00:00,4704,1
2_out,06:05:00,06:05:00,4709,2
2_out,06:10:00,06:10:00,4715,3
2_out,06:15:00,06:15:00,4714,4
2_out,06:20:00,06:20:00,4702,5

2_ret,06:25:00,06:25:00,4702,1
2_ret,06:30:00,06:30:00,4714,2
2_ret,06:35:00,06:35:00,4715,3
2_ret,06:40:00,06:40:00,4709,4
2_ret,06:45:00,06:45:00,4704,5
3_out,06:00:00,06:00:00,4707,1
3_out,06:05:00,06:05:00,4708,2
3_out,06:10:00,06:10:00,4702,3

3_ret,06:15:00,06:15:00,4702,1
3_ret,06:20:00,06:20:00,4708,2
3_ret,06:25:00,06:25:00,4707,3
4_out,06:00:00,06:00:00,4705,1
4_out,06:05:00,06:05:00,4713,2
4_out,06:10:00,06:10:00,4702,3

4_ret,06:15:00,06:15:00,4702,1
4_ret,06:20:00,06:20:00,4713,2
4_ret,06:25:00,06:25:00,4705,3

5_out,06:00:00,06:00:00,4703,1
5_out,08:30:00,08:30:00,4712,2

5_ret,08:30:00,08:30:00,4712,1
5_ret,06:00:00,06:00:00,4703,2

6_out,07:00:00,07:00:00,4702,1
6_out,07:05:00,07:05:00,4703,2
6_out,07:10:00,07:10:00,4716,3
6_out,07:15:00,07:15:00,4701,4
6_out,07:20:00,07:20:00,4700,5

6_ret,07:30:00,07:30:00,4700,1
6_ret,07:35:00,07:35:00,4701,2
6_ret,07:40:00,07:40:00,4716,3
6_ret,07:45:00,07:45:00,4703,4
6_ret,07:50:00,07:50:00,4702,5
