trip_id,start_time,end_time,headway_secs
T_L1_N_summer_std,05:15:00,05:30:00,900
T_L1_N_summer_std,05:30:00,05:40:00,600
T_L1_N_summer_std,05:40:00,06:35:00,300
T_L1_N_summer_std,06:35:00,19:35:00,240
T_L1_N_summer_std,19:35:00,19:55:00,300
T_L1_N_summer_std,19:55:00,23:37:00,360
T_L1_N_summer_std,23:37:00,24:00:00,450
T_L1_N_summer_vac,05:15:00,06:00:00,900
T_L1_N_summer_vac,06:00:00,07:20:00,600
T_L1_N_summer_vac,07:20:00,10:05:00,450
T_L1_N_summer_vac,10:05:00,19:00:00,300
T_L1_N_summer_vac,19:00:00,23:42:00,360
T_L1_N_summer_vac,23:42:00,24:05:00,450
T_L1_N_winter_std,05:15:00,05:30:00,900
T_L1_N_winter_std,05:30:00,05:42:00,720
T_L1_N_winter_std,05:42:00,06:01:00,600
T_L1_N_winter_std,06:01:00,06:20:00,240
T_L1_N_winter_std,06:20:00,09:31:00,210
T_L1_N_winter_std,09:31:00,18:35:00,240
T_L1_N_winter_std,18:35:00,20:30:00,300
T_L1_N_winter_std,20:30:00,23:30:00,360
T_L1_N_winter_std,23:30:00,24:05:00,420
T_L1_N_winter_vac,05:15:00,06:00:00,900
T_L1_N_winter_vac,06:00:00,07:20:00,600
T_L1_N_winter_vac,07:20:00,10:05:00,450
T_L1_N_winter_vac,10:05:00,21:00:00,300
T_L1_N_winter_vac,21:00:00,22:00:00,360
T_L1_N_winter_vac,22:00:00,24:00:00,450
T_L1_S_summer_std,05:15:00,05:30:00,900
T_L1_S_summer_std,05:30:00,06:00:00,600
T_L1_S_summer_std,06:00:00,06:30:00,450
T_L1_S_summer_std,06:30:00,06:45:00,300
T_L1_S_summer_std,06:45:00,20:41:00,240
T_L1_S_summer_std,20:41:00,23:28:00,360
T_L1_S_summer_std,23:28:00,24:00:00,450
T_L1_S_summer_vac,05:15:00,05:45:00,900
T_L1_S_summer_vac,05:45:00,08:35:00,600
T_L1_S_summer_vac,08:35:00,10:05:00,450
T_L1_S_summer_vac,10:05:00,20:30:00,300
T_L1_S_summer_vac,20:30:00,24:00:00,450
T_L1_S_winter_std,05:15:00,05:45:00,900
T_L1_S_winter_std,05:45:00,06:30:00,450
T_L1_S_winter_std,06:30:00,06:42:00,360
T_L1_S_winter_std,06:42:00,09:48:00,210
T_L1_S_winter_std,09:48:00,19:32:00,240
T_L1_S_winter_std,19:32:00,21:02:00,300
T_L1_S_winter_std,21:02:00,23:08:00,360
T_L1_S_winter_std,23:08:00,24:05:00,420
T_L1_S_winter_std,24:05:00,24:15:00,600
T_L1_S_winter_vac,05:15:00,05:45:00,900
