trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
T_L1_N_summer_std,05:15:00,05:15:30,sideboard.axed.redouble,1,0
T_L1_N_summer_std,05:18:06,05:18:36,detriment.gadgets.unfocused,2,0
T_L1_N_summer_std,05:19:51,05:20:21,cowering.deploying.clauses,3,0
T_L1_N_summer_std,05:22:18,05:22:48,another.second.swooning,4,0
T_L1_N_summer_std,05:25:59,05:26:29,reconnect.reserve.providing,5,0
T_L1_N_summer_std,05:28:05,05:28:35,approach.throat.schematic,6,0
T_L1_N_summer_std,05:32:17,05:32:47,headers.tunes.otters,7,0
T_L1_N_summer_std,05:34:39,05:35:09,yummy.transit.oath,8,0
T_L1_N_summer_std,05:37:19,05:37:49,burying.bordering.aura,9,0
T_L1_N_summer_std,05:39:30,05:40:00,worthy.fizzled.foreheads,10,0
T_L1_N_summer_std,05:41:23,05:41:53,clays.earphones.perfumes,11,0
T_L1_N_summer_std,05:43:51,05:44:21,booth.police.nanny,12,0
T_L1_N_summer_std,05:46:38,05:47:08,marble.processor.culminate,13,0
T_L1_N_summer_std,05:49:50,05:50:20,contain.parsnip.organisms,14,0
T_L1_N_summer_std,05:52:10,05:52:40,castle.actors.hurricane,15,0
T_L1_N_summer_std,05:54:35,05:55:05,driveways.referral.occupy,16,0
T_L1_N_summer_std,05:57:06,05:57:36,divorcing.gossip.rankings,17,0
T_L1_N_summer_std,05:58:55,05:59:25,crashing.universal.crows,18,0
T_L1_N_summer_std,06:00:39,06:01:09,wedding.painter.apparatus,19,0
T_L1_N_summer_std,06:02:56,06:03:26,uncle.trees.clipped,20,0
T_L1_N_summer_std,06:04:13,06:04:43,unframed.regaining.district,21,0
T_L1_N_summer_std,06:05:33,06:06:03,trusts.imperious.tarnished,22,0
T_L1_N_summer_std,06:09:01,06:09:31,rivals.worldwide.revolting,23,0
T_L1_N_summer_std,06:11:51,06:12:21,hostels.grounded.flocking,24,0
T_L1_N_summer_std,06:13:56,06:14:26,cabs.drank.muddle,25,0
T_L1_N_summer_std,06:15:38,06:16:08,polar.feels.goose,26,0
T_L1_N_summer_std,06:17:08,06:17:38,automate.pylons.bandstand,27,0
T_L1_N_summer_std,06:18:57,06:19:27,mango.taller.vine,28,0
T_L1_N_summer_std,06:21:03,06:21:33,marmalade.albums.galloped,29,0
T_L1_N_summer_std,06:22:52,06:23:22,clinic.talent.merely,30,0
T_L1_N_summer_std,06:24:40,06:25:10,dramatic.added.fiery,31,0
T_L1_N_summer_std,06:26:57,06:27:27,ombudsman.hazy.equivocal,32,0
T_L1_N_summer_std,06:29:01,06:29:31,selects.unloaded.shark,33,0
T_L1_N_summer_std,06:32:13,06:32:43,scared.sometimes.standing,34,0
T_L1_N_summer_std,06:34:38,06:35:08,backpacks.donor.likening,35,0
T_L1_N_summer_vac,05:15:00,05:15:30,sideboard.axed.redouble,1,0
T_L1_N_summer_vac,05:18:06,05:18:36,detriment.gadgets.unfocused,2,0
T_L1_N_summer_vac,05:19:51,05:20:21,cowering.deploying.clauses,3,0
T_L1_N_summer_vac,05:22:18,05:22:48,another.second.swooning,4,0
T_L1_N_summer_vac,05:25:59,05:26:29,reconnect.reserve.providing,5,0
T_L1_N_summer_vac,05:28:05,05:28:35,approach.throat.schematic,6,0
T_L1_N_summer_vac,05:32:17,05:32:47,headers.tunes.otters,7,0
T_L1_N_summer_vac,05:34:39,05:35:09,yummy.transit.oath,8,0
T_L1_N_summer_vac,05:37:19,05:37:49,burying.bordering.aura,9,0
T_L1_N_summer_vac,05:39:30,05:40:00,worthy.fizzled.foreheads,10,0
T_L1_N_summer_vac,05:41:23,05:41:53,clays.earphones.perfumes,11,0
T_L1_N_summer_vac,05:43:51,05:44:21,booth.police.nanny,12,0
T_L1_N_summer_vac,05:46:38,05:47:08,marble.processor.culminate,13,0
T_L1_N_summer_vac,05:49:50,05:50:20,contain.parsnip.organisms,14,0
T_L1_N_summer_vac,05:52:10,05:52:40,castle.actors.hurricane,15,0
T_L1_N_summer_vac,05:54:35,05:55:05,driveways.referral.occupy,16,0
T_L1_N_summer_vac,05:57:06,05:57:36,divorcing.gossip.rankings,17,0
T_L1_N_summer_vac,05:58:55,05:59:25,crashing.universal.crows,18,0
T_L1_N_summer_vac,06:00:39,06:01:09,wedding.painter.apparatus,19,0
T_L1_N_summer_vac,06:02:56,06:03:26,uncle.trees.clipped,20,0
T_L1_N_summer_vac,06:04:13,06:04:43,unframed.regaining.district,21,0
T_L1_N_summer_vac,06:05:33,06:06:03,trusts.imperious.tarnished,22,0
T_L1_N_summer_vac,06:09:01,06:09:31,rivals.worldwide.revolting,23,0
T_L1_N_summer_vac,06:11:51,06:12:21,hostels.grounded.flocking,24,0
T_L1_N_summer_vac,06:13:56,06:14:26,cabs.drank.muddle,25,0
T_L1_N_summer_vac,06:15:38,06:16:08,polar.feels.goose,26,0
T_L1_N_summer_vac,06:17:08,06:17:38,automate.pylons.bandstand,27,0
T_L1_N_summer_vac,06:18:57,06:19:27,mango.taller.vine,28,0
T_L1_N_summer_vac,06:21:03,06:21:33,marmalade.albums.galloped,29,0
T_L1_N_summer_vac,06:22:52,06:23:22,clinic.talent.merely,30,0
T_L1_N_summer_vac,06:24:40,06:25:10,dramatic.added.fiery,31,0
T_L1_N_summer_vac,06:26:57,06:27:27,ombudsman.hazy.equivocal,32,0
T_L1_N_summer_vac,06:29:01,06:29:31,selects.unloaded.shark,33,0
T_L1_N_summer_vac,06:32:13,06:32:43,scared.sometimes.standing,34,0
T_L1_N_summer_vac,06:34:38,06:35:08,backpacks.donor.likening,35,0
T_L1_N_winter_std,05:15:00,05:15:30,sideboard.axed.redouble,1,0
T_L1_N_winter_std,05:18:06,05:18:36,detriment.gadgets.unfocused,2,0
T_L1_N_winter_std,05:19:51,05:20:21,cowering.deploying.clauses,3,0
T_L1_N_winter_std,05:22:18,05:22:48,another.second.swooning,4,0
T_L1_N_winter_std,05:25:59,05:26:29,reconnect.reserve.providing,5,0
T_L1_N_winter_std,05:28:05,05:28:35,approach.throat.schematic,6,0
T_L1_N_winter_std,05:32:17,05:32:47,headers.tunes.otters,7,0
T_L1_N_winter_std,05:34:39,05:35:09,yummy.transit.oath,8,0
T_L1_N_winter_std,05:37:19,05:37:49,burying.bordering.aura,9,0
T_L1_N_winter_std,05:39:30,05:40:00,worthy.fizzled.foreheads,10,0
T_L1_N_winter_std,05:41:23,05:41:53,clays.earphones.perfumes,11,0
T_L1_N_winter_std,05:43:51,05:44:21,booth.police.nanny,12,0
T_L1_N_winter_std,05:46:38,05:47:08,marble.processor.culminate,13,0
T_L1_N_winter_std,05:49:50,05:50:20,contain.parsnip.organisms,14,0
T_L1_N_winter_std,05:52:10,05:52:40,castle.actors.hurricane,15,0
T_L1_N_winter_std,05:54:35,05:55:05,driveways.referral.occupy,16,0
T_L1_N_winter_std,05:57:06,05:57:36,divorcing.gossip.rankings,17,0
T_L1_N_winter_std,05:58:55,05:59:25,crashing.universal.crows,18,0
T_L1_N_winter_std,06:00:39,06:01:09,wedding.painter.apparatus,19,0
T_L1_N_winter_std,06:02:56,06:03:26,uncle.trees.clipped,20,0
T_L1_N_winter_std,06:04:13,06:04:43,unframed.regaining.district,21,0
T_L1_N_winter_std,06:05:33,06:06:03,trusts.imperious.tarnished,22,0
T_L1_N_winter_std,06:09:01,06:09:31,rivals.worldwide.revolting,23,0
T_L1_N_winter_std,06:11:51,06:12:21,hostels.grounded.flocking,24,0
T_L1_N_winter_std,06:13:56,06:14:26,cabs.drank.muddle,25,0
T_L1_N_winter_std,06:15:38,06:16:08,polar.feels.goose,26,0
T_L1_N_winter_std,06:17:08,06:17:38,automate.pylons.bandstand,27,0
T_L1_N_winter_std,06:18:57,06:19:27,mango.taller.vine,28,0
T_L1_N_winter_std,06:21:03,06:21:33,marmalade.albums.galloped,29,0
T_L1_N_winter_std,06:22:52,06:23:22,clinic.talent.merely,30,0
T_L1_N_winter_std,06:24:40,06:25:10,dramatic.added.fiery,31,0
T_L1_N_winter_std,06:26:57,06:27:27,ombudsman.hazy.equivocal,32,0
T_L1_N_winter_std,06:29:01,06:29:31,selects.unloaded.shark,33,0
T_L1_N_winter_std,06:32:13,06:32:43,scared.sometimes.standing,34,0
T_L1_N_winter_std,06:34:38,06:35:08,backpacks.donor.likening,35,0
T_L1_N_winter_vac,05:15:00,05:15:30,sideboard.axed.redouble,1,0
T_L1_N_winter_vac,05:18:06,05:18:36,detriment.gadgets.unfocused,2,0
T_L1_N_winter_vac,05:19:51,05:20:21,cowering.deploying.clauses,3,0
T_L1_N_winter_vac,05:22:18,05:22:48,another.second.swooning,4,0
T_L1_N_winter_vac,05:25:59,05:26:29,reconnect.reserve.providing,5,0
T_L1_N_winter_vac,05:28:05,05:28:35,approach.throat.schematic,6,0
T_L1_N_winter_vac,05:32:17,05:32:47,headers.tunes.otters,7,0
T_L1_N_winter_vac,05:34:39,05:35:09,yummy.transit.oath,8,0
T_L1_N_winter_vac,05:37:19,05:37:49,burying.bordering.aura,9,0
T_L1_N_winter_vac,05:39:30,05:40:00,worthy.fizzled.foreheads,10,0
T_L1_N_winter_vac,05:41:23,05:41:53,clays.earphones.perfumes,11,0
T_L1_N_winter_vac,05:43:51,05:44:21,booth.police.nanny,12,0
T_L1_N_winter_vac,05:46:38,05:47:08,marble.processor.culminate,13,0
T_L1_N_winter_vac,05:49:50,05:50:20,contain.parsnip.organisms,14,0
