stop_name,zone_id,stop_id,stop_lat,stop_lon
Ain Helwan,detriment.gadgets.unfocused,detriment.gadgets.unfocused,29.862598,31.325024
Ain Helwan,november.defensive.panthers,november.defensive.panthers,29.862606,31.325073
Ain Shams,ombudsman.hazy.equivocal,ombudsman.hazy.equivocal,30.131042,31.319027
Ain Shams,redeemed.camped.dunk,redeemed.camped.dunk,30.131008,31.3191
Al-Sayeda Zeinab,divorcing.gossip.rankings,divorcing.gossip.rankings,30.029293,31.235329
Al-Sayeda Zeinab,mentioned.meanest.incurs,mentioned.meanest.incurs,30.029215,31.235464
Al-Shohadaa,fidelity.asking.cheek,fidelity.asking.cheek,30.061058,31.246288
Al-Shohadaa,trusts.imperious.tarnished,trusts.imperious.tarnished,30.061108,31.245897
Attaba,marketing.dribble.gossiped,marketing.dribble.gossiped,30.052423,31.246843
Attaba,wink.driftwood.shredding,wink.driftwood.shredding,30.05242,31.246881
Bohooth,breaches.cubic.qualify,breaches.cubic.qualify,30.035769,31.200365
Bohooth,irrigated.snake.dynamics,irrigated.snake.dynamics,30.035902,31.200325
Cairo University,courtyard.brightens.recapture,courtyard.brightens.recapture,30.026001,31.201183
Cairo University,overcomes.constants.foggy,overcomes.constants.foggy,30.026182,31.20112
Dar El-Salam,intervene.jigsaw.bloodshot,intervene.jigsaw.bloodshot,29.982098,31.242212
Dar El-Salam,marble.processor.culminate,marble.processor.culminate,29.98204,31.242134
Dokki,indeed.stands.endearing,indeed.stands.endearing,30.038206,31.212105
Dokki,survived.birthing.timer,survived.birthing.timer,30.03847,31.212038
El-Demerdash,hostels.grounded.flocking,hostels.grounded.flocking,30.077274,31.277815
El-Demerdash,isolating.awaited.shun,isolating.awaited.shun,30.077248,31.277828
El-Giza,badminton.justifies.lunge,badminton.justifies.lunge,30.010649,31.207119
El-Giza,void.anguished.squeaks,void.anguished.squeaks,30.010635,31.207077
El-Maasara,approach.throat.schematic,approach.throat.schematic,29.906183,31.29962
El-Maasara,spouse.camp.wicked,spouse.camp.wicked,29.906315,31.299704
El-Malek El-Saleh,blink.accent.photo,blink.accent.photo,30.01768,31.23123
El-Malek El-Saleh,driveways.referral.occupy,driveways.referral.occupy,30.017712,31.231182
El-Marg,scared.sometimes.standing,scared.sometimes.standing,30.152117,31.33574
El-Marg,trouser.public.chatters,trouser.public.chatters,30.152107,31.335814
El-Matareyya,dramatic.added.fiery,dramatic.added.fiery,30.121166,31.3138
El-Matareyya,smiling.limelight.fast,smiling.limelight.fast,30.12115,31.313957
El-Mounib,amused.extremes.flagpole,amused.extremes.flagpole,29.980957,31.212038
El-Mounib,pigs.total.shunning,pigs.total.shunning,29.981007,31.212156
